"MSD_Id","MSD_MSId","MSD_Volume","MSD_Year"
"1","1","1","2015-02-25"
"2","1","2","2015-03-15"
"3","1","3","2015-04-22"
"4","1","4","2015-06-03"
"5","1","5","2015-06-01"
"6","1","6","2015-07-29"
"7","1","7","2015-08-19"
"8","1","8","2015-09-09"
"9","1","9","2015-10-14"
"10","1","10","2015-11-11"
"11","1","11","2015-12-16"
"12","1","12","2016-01-13"
"13","1","13","2016-02-10"
"14","1","14","2016-03-09"
"15","1","15","2016-04-13"
"16","1","16","2016-05-11"
"17","1","17","2016-06-08"
"18","7","1","2020-09-23"
"19","7","2","2021-01-20"
"20","7","3","2021-06-16"
"21","7","4","2021-10-13"
"22","7","5","2022-04-06"
"23","2","1","2019-07-24"
"24","4","1","2018-06-04"
"25","4","2","2018-08-22"
"26","6","1","2019-02-06"
"27","6","2","2019-05-01"
"28","6","3","2019-08-07"
"29","3","1","2014-11-02"
"30","3","2","2014-11-26"
"31","5","1","2022-08-24"
"32","5","2","2022-11-16"
"33","8","1","2014-11-05"
"34","8","2","2014-12-24"
"35","8","3","2015-01-28"
"36","8","4","2015-02-25"
"37","8","5","2015-03-25"
"38","8","6","2015-04-29"
"39","8","7","2015-07-06"
"40","8","8","2015-07-08"
"41","8","9","2015-08-12"
"42","9","1","2022-05-04"
"43","9","2","2022-06-29"
"44","9","3","2022-07-27"
"45","9","4","2022-08-24"
"46","9","5","2022-09-28"
"47","9","6","2022-11-09"
"48","10","1","2022-07-27"
"49","10","2","2022-11-02"
"50","11","1","2020-03-01"
"51","11","2","2020-03-25"
"52","11","3","2020-06-24"
"53","11","4","2020-06-24"
"54","11","5","2020-07-22"
"55","11","6","2020-08-10"
"56","11","7","2020-09-23"
"57","11","8","2020-10-28"
"58","11","9","2020-11-25"
"59","11","10","2020-12-16"
"60","11","11","2020-12-16"
"61","12","1","2014-11-01"
"62","12","2","2014-12-12"
"63","12","3","2015-01-21"
"64","12","4","2015-02-11"
"65","12","5","2015-03-18"
"66","12","6","2015-04-08"
"67","12","7","2015-05-06"
"68","12","8","2015-06-17"
"69","12","9","2015-07-15"
"70","12","10","2015-08-12"
"71","12","11","2015-09-02"
"72","12","12","2015-10-07"
"73","12","13","2015-11-04"
"74","13","1","2022-05-18"
"75","13","2","2022-07-20"
"76","13","3","2022-09-21"
"77","13","4","2022-11-16"
"78","14","1","2022-04-13"
"79","14","2","2022-06-15"
"80","14","3","2022-08-17"
"81","14","4","2022-10-19"
"82","15","1","2019-05-31"
"83","15","2","2019-07-24"
"84","15","3","2019-09-25"
"85","15","4","2019-11-27"
"86","15","5","2020-01-29"
"87","15","6","2020-03-25"
"88","16","1","2022-02-23"
"89","16","2","2022-03-23"
"90","16","3","2022-04-27"
"91","16","4","2022-05-25"
"92","16","5","2022-06-29"
"93","16","6","2022-07-27"
"94","16","7","2022-08-24"
"95","16","8","2022-09-28"
"96","16","9","2022-11-02"
"97","17","1","2022-04-20"
"98","17","2","2022-06-08"
"99","17","3","2022-07-20"
"100","17","4","2022-08-24"
"101","17","5","2022-09-28"
"102","17","6","2022-10-26"
"103","17","7","2022-11-23"
"104","18","1","2022-05-25"
"105","18","2","2022-08-17"
"106","18","3","2022-10-19"
"107","19","1","2019-02-13"
"108","19","2","2019-04-10"
"109","19","3","2019-06-12"
"110","19","4","2019-08-07"
"111","19","5","2019-10-09"
"112","19","6","2019-12-11"
"113","19","7","2020-02-12"
"114","20","1","2022-06-08"
"115","18","4","2022-12-28"
"116","18","5","2023-02-08"
"117","18","6","2023-04-12"
"118","10","3","2023-02-01"
"119","10","4","2023-04-12"
"120","16","10","2022-12-07"
"121","16","11","2022-12-19"
"122","21","1","2023-02-08"
"123","14","5","2022-12-28"
"124","14","6","2023-02-15"
"125","14","7","2023-04-19"
